le;best_x
0.5;0.2
0.7;2
0.9;1.8
1.1;2.4
1.3;2
1.5;2.6
1.7;2.2
1.9;2.6
2.1;2.4
2.3;2.8
2.5;2.6
2.7;3
2.9;2.8
3.1;3
3.3;3
3.5;3.2
3.7;3.2
3.9;3.4
4.1;3.2
4.3;3.4
4.5;3.4
4.7;3.6
4.9;3.4
5.1;3.6
5.3;3.6
5.5;3.8
5.7;3.6
5.9;3.8
6.1;3.8
6.3;4
6.5;3.8
6.7;4
6.9;4
7.1;4.2
7.3;4
7.5;4.2
7.7;4.2
7.9;4.4
8.1;4.2
8.3;4.4
8.5;4.4
8.7;4.4
8.9;4.4
9.1;4.6
9.3;4.6
9.5;4.6
9.7;4.6
9.9;4.8
10.1;4.6
10.3;4.8
10.5;4.8
10.7;5
10.9;4.8
11.1;5
11.3;5
11.5;5
11.7;5
11.9;5.2
12.1;5.2
12.3;5.2
12.5;5.2
12.7;5.4
12.9;5.4
13.1;5.4
13.3;5.4
13.5;5.6
13.7;5.6
13.9;5.8
14.1;5.6
14.3;5.8
14.5;5.8
14.7;6
14.9;6
15.1;6
15.3;6
15.5;6.2
15.7;6.2
15.9;6.4
16.1;6.4
16.3;6.4
16.5;6.4
16.7;6.6
16.9;6.6
17.1;6.8
17.3;6.8
17.5;6.8
17.7;6.8
17.9;7
18.1;7
18.3;7.2
18.5;7
18.7;7.2
18.9;7.2
19.1;7.4
19.3;7.4
19.5;7.4
19.7;7.4
19.9;7.6
20.1;7.6
20.3;7.8
20.5;7.8
20.7;7.8
20.9;7.8
21.1;8
21.3;8
21.5;8.2
21.7;8.2
21.9;8.2
22.1;8.2
22.3;8.4
22.5;8.4
22.7;8.4
22.9;8.4
23.1;8.6
23.3;8.6
23.5;8.8
23.7;8.8
23.9;8.8
24.1;8.8
24.3;9
24.5;9
24.7;9.2
24.9;9
25.1;9.2
25.3;9.2
25.5;9.4
25.7;9.4
25.9;9.4
26.1;9.4
26.3;9.6
26.5;9.6
26.7;9.6
26.9;9.6
27.1;9.8
27.3;9.8
27.5;10
27.7;10
27.9;10
28.1;10
28.3;10.2
28.5;10.2
28.7;10.2
28.9;10.2
29.1;10.4
29.3;10.4
29.5;10.4
29.7;10.4
29.9;10.6
30.1;10.6
30.3;10.6
30.5;10.6
30.7;10.8
30.9;10.8
31.1;10.8
31.3;10.8
31.5;11
31.7;11
31.9;11
32.1;11
32.3;11.2
32.5;11.2
32.7;11.2
32.9;11.2
33.1;11.4
33.3;11.2
33.5;11.4
33.7;11.4
33.9;11.4
34.1;11.4
34.3;11.6
34.5;11.6
34.7;11.6
34.9;11.6
35.1;11.6
35.3;11.6
35.5;11.8
35.7;11.6
35.9;11.8
36.1;11.8
36.3;11.8
36.5;11.8
36.7;11.8
36.9;11.8
37.1;11.8
37.3;11.8
37.5;11.8
37.7;11.8
37.9;11.8
38.1;11.6
38.3;11.6
38.5;11.6
38.7;11.6
38.9;11.4
39.1;11.4
39.3;11
39.5;10.8
39.7;10.4
39.9;8.8
40.1;0
40.3;0
40.5;0
40.7;0
40.9;0
41.1;0
41.3;0
41.5;0
41.7;0
41.9;0
42.1;0
42.3;0
42.5;0
42.7;0
42.9;0
43.1;0
43.3;0
43.5;0
43.7;0
43.9;0
44.1;0
44.3;0
44.5;0
44.7;0
44.9;0
